Time Cost: 47.84055209159851s
Community 499: ['4011']
Community 500: ['4012']
Community 501: ['4013']
Community 502: ['4014']
Community 503: ['4015']
Community 504: ['4016']
Community 505: ['4017']
Community 506: ['4018']
Community 507: ['4019']
Community 508: ['4020']
Community 509: ['4021']
Community 510: ['4022']
Community 511: ['4023']
Community 512: ['4024']
Community 513: ['4025']
Community 514: ['4026']
Community 515: ['4027']
Community 516: ['4028']
Community 517: ['4029']
Community 518: ['4030']
Community 519: ['4031']
Community 520: ['4032']
Community 521: ['4033']
Community 522: ['4034']
Community 523: ['4035']
Community 524: ['4036']
Community 525: ['4037']
Community 526: ['4038']
Community 527: ['4039']
Community 528: ['4041']
Community 529: ['4042']
Community 530: ['4043']
Community 531: ['4044']
Community 532: ['4045']
Community 533: ['4047']
Community 534: ['4048']
Community 535: ['4049']
Community 536: ['4050']
Community 537: ['4051']
Community 538: ['4052']
Community 539: ['4053']
Community 540: ['4054']
Community 541: ['4055']
Community 542: ['4056']
Community 543: ['4057']
Community 544: ['4059']
Community 545: ['4060']
Community 546: ['4061']
Community 547: ['4062']
Community 548: ['4063']
Community 549: ['4064']
Community 550: ['4065']
Community 551: ['4066']
Community 552: ['4067']
Community 553: ['4068']
Community 554: ['4069']
Community 555: ['4070']
Community 556: ['4071']
Community 557: ['4072']
Community 558: ['4073']
Community 559: ['4074']
Community 560: ['4075']
Community 561: ['4076']
Community 562: ['4077']
Community 563: ['4078']
Community 564: ['4079']
Community 565: ['4081']
Community 566: ['4082']
Community 567: ['4083']
Community 568: ['4084']
Community 569: ['4085']
Community 570: ['4086']
Community 571: ['4087']
Community 572: ['4088']
Community 573: ['4089']
Community 574: ['4090']
Community 575: ['4091']
Community 576: ['4092']
Community 577: ['4093']
Community 578: ['4094']
Community 579: ['4095']
Community 580: ['4096']
Community 581: ['4097']
Community 582: ['4098']
Community 583: ['4099']
Community 584: ['4100']
Community 585: ['4101']
Community 586: ['4102']
Community 587: ['4103']
Community 588: ['4104']
Community 589: ['4105']
Community 590: ['4106']
Community 591: ['4107']
Community 592: ['4108']
Community 593: ['4109']
Community 594: ['4110']
Community 595: ['4111']
Community 596: ['4112']
Community 597: ['4114']
Community 598: ['4115']
Community 599: ['4116']
Community 600: ['4117']
Community 601: ['4118']
Community 602: ['4119']
Community 603: ['4120']
Community 604: ['4121']
Community 605: ['4122']
Community 606: ['4123']
Community 607: ['4124']
Community 608: ['4125']
Community 609: ['4126']
Community 610: ['4127']
Community 611: ['4128']
Community 612: ['4129']
Community 613: ['4130']
Community 614: ['4131']
Community 615: ['4132']
Community 616: ['4133']
Community 617: ['4134']
Community 618: ['4135']
Community 619: ['4136']
Community 620: ['4137']
Community 621: ['4138']
Community 622: ['4139']
Community 623: ['4140']
Community 624: ['4141']
Community 625: ['4142']
Community 626: ['4143']
Community 627: ['4144']
Community 628: ['4145']
Community 629: ['4146']
Community 630: ['4148']
Community 631: ['4149']
Community 632: ['4150']
Community 633: ['4151']
Community 634: ['4152']
Community 635: ['4153']
Community 636: ['4154']
Community 637: ['4156']
Community 638: ['4157']
Community 639: ['4158']
Community 640: ['4159']
Community 641: ['4160']
Community 642: ['4161']
Community 643: ['4162']
Community 644: ['4163']
Community 645: ['4164']
Community 646: ['4166']
Community 647: ['4167']
Community 648: ['4168']
Community 649: ['4169']
Community 650: ['4170']
Community 651: ['4171']
Community 652: ['4172']
Community 653: ['4173']
Community 654: ['4174']
Community 655: ['4175']
Community 656: ['4176']
Community 657: ['4177']
Community 658: ['4178']
Community 659: ['4179']
Community 660: ['4180']
Community 661: ['4181']
Community 662: ['4182']
Community 663: ['4183']
Community 664: ['4184']
Community 665: ['4185']
Community 666: ['4186']
Community 667: ['4188']
Community 668: ['4189']
Community 669: ['4190']
Community 670: ['4191']
Community 671: ['4192']
Community 672: ['4193']
Community 673: ['4194']
Community 674: ['4195']
Community 675: ['4196']
Community 676: ['4197']
Community 677: ['4198']
Community 678: ['4199']
Community 679: ['4200']
Community 680: ['4201']
Community 681: ['4202']
Community 682: ['4203']
Community 683: ['4204']
Community 684: ['4205']
Community 685: ['4206']
Community 686: ['4207']
Community 687: ['4208']
Community 688: ['4209']
Community 689: ['4210']
Community 690: ['4211']
Community 691: ['4212']
Community 692: ['4213']
Community 693: ['4214']
Community 694: ['4215']
Community 695: ['4216']
Community 696: ['4217']
Community 697: ['4218']
