Time Cost: 68.62752771377563s
Community 381: ['3544']
Community 382: ['3545']
Community 383: ['3546']
Community 384: ['3547']
Community 385: ['3548']
Community 386: ['3549']
Community 387: ['3550']
Community 388: ['3551']
Community 389: ['3552']
Community 390: ['3553']
Community 391: ['3554']
Community 392: ['3555']
Community 393: ['3556']
Community 394: ['3557']
Community 395: ['3558']
Community 396: ['3559']
Community 397: ['3560']
Community 398: ['3561']
Community 399: ['3562']
Community 400: ['3563']
Community 401: ['3564']
Community 402: ['3565']
Community 403: ['3566']
Community 404: ['3567']
Community 405: ['3568']
Community 406: ['3569']
Community 407: ['3570']
Community 408: ['3571']
Community 409: ['3572']
Community 410: ['3573']
Community 411: ['3574']
Community 412: ['3575']
Community 413: ['3576']
Community 414: ['3577']
Community 415: ['3578']
Community 416: ['3579']
Community 417: ['3580']
Community 418: ['3581']
Community 419: ['3582']
Community 420: ['3583']
Community 421: ['3584']
Community 422: ['3585']
Community 423: ['3586']
Community 424: ['3587']
Community 425: ['3588']
Community 426: ['3589']
Community 427: ['3590']
Community 428: ['3591']
Community 429: ['3592']
Community 430: ['3593']
Community 431: ['3594']
Community 432: ['3595']
Community 433: ['3596']
Community 434: ['3597']
Community 435: ['3598']
Community 436: ['3599']
Community 437: ['3600']
Community 438: ['3601']
Community 439: ['3602']
Community 440: ['3603']
Community 441: ['3604']
Community 442: ['3605']
Community 443: ['3606']
Community 444: ['3607']
Community 445: ['3608']
Community 446: ['3609']
Community 447: ['3610']
Community 448: ['3611']
Community 449: ['3612']
Community 450: ['3613']
Community 451: ['3614']
Community 452: ['3615']
Community 453: ['3616']
Community 454: ['3617']
Community 455: ['3618']
Community 456: ['3619']
Community 457: ['3620']
Community 458: ['3621']
Community 459: ['3622']
Community 460: ['3623']
Community 461: ['3624']
Community 462: ['3625']
Community 463: ['3626']
Community 464: ['3627']
Community 465: ['3628']
Community 466: ['3629']
Community 467: ['3630']
Community 468: ['3631']
Community 469: ['3632']
Community 470: ['3633']
Community 471: ['3634']
Community 472: ['3635']
Community 473: ['3636']
Community 474: ['3637']
Community 475: ['3638']
Community 476: ['3639']
Community 477: ['3640']
Community 478: ['3641']
Community 479: ['3642']
Community 480: ['3643']
Community 481: ['3644']
Community 482: ['3645']
Community 483: ['3646']
Community 484: ['3647']
Community 485: ['3648']
Community 486: ['3649']
Community 487: ['3650']
Community 488: ['3651']
Community 489: ['3652']
Community 490: ['3653']
Community 491: ['3654']
Community 492: ['3655']
Community 493: ['3656']
Community 494: ['3657']
Community 495: ['3658']
Community 496: ['3659']
Community 497: ['3660']
Community 498: ['3661']
Community 499: ['3662']
Community 500: ['3663']
Community 501: ['3664']
Community 502: ['3665']
Community 503: ['3666']
Community 504: ['3667']
Community 505: ['3668']
Community 506: ['3669']
Community 507: ['3670']
Community 508: ['3671']
Community 509: ['3672']
Community 510: ['3673']
Community 511: ['3674']
Community 512: ['3675']
Community 513: ['3676']
Community 514: ['3677']
Community 515: ['3678']
Community 516: ['3679']
Community 517: ['3680']
Community 518: ['3681']
Community 519: ['3682']
Community 520: ['3683']
Community 521: ['3684']
Community 522: ['3685']
Community 523: ['3686']
Community 524: ['3687']
Community 525: ['3688']
Community 526: ['3689']
Community 527: ['3690']
Community 528: ['3691']
Community 529: ['3692']
Community 530: ['3693']
Community 531: ['3694']
Community 532: ['3695']
Community 533: ['3696']
Community 534: ['3697']
Community 535: ['3698']
Community 536: ['3699']
Community 537: ['3700']
Community 538: ['3701']
Community 539: ['3702']
Community 540: ['3703']
Community 541: ['3704']
Community 542: ['3705']
Community 543: ['3706']
Community 544: ['3707']
Community 545: ['3708']
Community 546: ['3709']
Community 547: ['3710']
Community 548: ['3711']
Community 549: ['3712']
Community 550: ['3713']
Community 551: ['3714']
Community 552: ['3715']
Community 553: ['3716']
Community 554: ['3717']
Community 555: ['3718']
Community 556: ['3719']
Community 557: ['3720']
Community 558: ['3721']
Community 559: ['3722']
Community 560: ['3723']
Community 561: ['3724']
Community 562: ['3725']
Community 563: ['3726']
Community 564: ['3727']
Community 565: ['3728']
Community 566: ['3729']
Community 567: ['3730']
Community 568: ['3731']
Community 569: ['3732']
Community 570: ['3733']
Community 571: ['3734']
Community 572: ['3735']
Community 573: ['3736']
Community 574: ['3737']
Community 575: ['3738']
Community 576: ['3739']
Community 577: ['3740']
Community 578: ['3741']
Community 579: ['3742']
Community 580: ['3743']
Community 581: ['3744']
Community 582: ['3745']
Community 583: ['3746']
Community 584: ['3747']
Community 585: ['3748']
Community 586: ['3749']
Community 587: ['3750']
Community 588: ['3751']
Community 589: ['3752']
Community 590: ['3753']
Community 591: ['3754']
Community 592: ['3755']
Community 593: ['3756']
Community 594: ['3757']
Community 595: ['3758']
Community 596: ['3759']
Community 597: ['3760']
Community 598: ['3761']
Community 599: ['3762']
Community 600: ['3763']
Community 601: ['3764']
Community 602: ['3765']
Community 603: ['3766']
Community 604: ['3767']
Community 605: ['3768']
Community 606: ['3769']
Community 607: ['3770']
Community 608: ['3771']
Community 609: ['3772']
Community 610: ['3773']
Community 611: ['3774']
Community 612: ['3775']
Community 613: ['3776']
Community 614: ['3777']
Community 615: ['3778']
Community 616: ['3779']
Community 617: ['3780']
Community 618: ['3781']
Community 619: ['3782']
Community 620: ['3783']
Community 621: ['3784']
Community 622: ['3785']
Community 623: ['3786']
Community 624: ['3787']
Community 625: ['3788']
Community 626: ['3789']
Community 627: ['3790']
Community 628: ['3791']
Community 629: ['3792']
Community 630: ['3793']
Community 631: ['3794']
Community 632: ['3795']
Community 633: ['3796']
Community 634: ['3797']
Community 635: ['3798']
Community 636: ['3799']
Community 637: ['3800']
Community 638: ['3801']
Community 639: ['3802']
Community 640: ['3803']
Community 641: ['3804']
Community 642: ['3805']
Community 643: ['3806']
Community 644: ['3807']
Community 645: ['3808']
Community 646: ['3809']
Community 647: ['3810']
Community 648: ['3811']
Community 649: ['3812']
Community 650: ['3813']
Community 651: ['3814']
Community 652: ['3815']
Community 653: ['3816']
Community 654: ['3817']
Community 655: ['3818']
Community 656: ['3819']
Community 657: ['3820']
Community 658: ['3821']
Community 659: ['3822']
