Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
6795,42,109,66,0.6055045871559633
6796,43,110,66,0.6
6797,66,110,43,0.39090909090909093
6798,46,109,62,0.5688073394495413
6799,43,108,64,0.5925925925925926
6800,41,109,67,0.6146788990825688
6801,72,109,36,0.3302752293577982
6802,64,108,43,0.39814814814814814
6803,52,111,58,0.5225225225225225
6804,43,110,66,0.6
6805,92,108,15,0.1388888888888889
6806,43,109,65,0.5963302752293578
6807,52,109,56,0.5137614678899083
6808,40,109,68,0.6238532110091743
6809,63,109,45,0.41284403669724773
6810,42,109,66,0.6055045871559633
6811,86,109,22,0.2018348623853211
6812,84,108,23,0.21296296296296297
6813,40,110,69,0.6272727272727273
6814,50,108,57,0.5277777777777778
6815,47,108,60,0.5555555555555556
6816,41,109,67,0.6146788990825688
6817,62,109,46,0.42201834862385323
6818,44,109,64,0.5871559633027523
6819,47,109,61,0.5596330275229358
6820,69,108,38,0.35185185185185186
6821,43,108,64,0.5925925925925926
6822,41,108,66,0.6111111111111112
6823,85,110,24,0.21818181818181817
6824,37,110,72,0.6545454545454545
6825,40,109,68,0.6238532110091743
6826,51,109,57,0.5229357798165137
6827,44,110,65,0.5909090909090909
6828,38,111,72,0.6486486486486487
6829,76,109,32,0.29357798165137616
6830,65,110,44,0.4
6831,46,110,63,0.5727272727272728
6832,41,109,67,0.6146788990825688
6833,47,110,62,0.5636363636363636
6834,89,109,19,0.1743119266055046
6835,42,108,65,0.6018518518518519
6836,72,110,37,0.33636363636363636
6837,59,109,49,0.44954128440366975
6838,52,109,56,0.5137614678899083
6839,42,108,65,0.6018518518518519
6840,53,109,55,0.5045871559633027
6841,40,109,68,0.6238532110091743
6842,68,109,40,0.3669724770642202
6843,77,110,32,0.2909090909090909
6844,70,111,40,0.36036036036036034
6845,88,109,20,0.1834862385321101
6846,45,109,63,0.5779816513761468
6847,45,110,64,0.5818181818181818
6848,59,109,49,0.44954128440366975
6849,48,108,59,0.5462962962962963
6850,44,110,65,0.5909090909090909
6851,53,108,54,0.5
6852,44,110,65,0.5909090909090909
6853,44,110,65,0.5909090909090909
6854,90,110,19,0.17272727272727273
6855,51,108,56,0.5185185185185185
6856,43,109,65,0.5963302752293578
6857,49,111,61,0.5495495495495496
6858,29,110,80,0.7272727272727273
6859,44,109,64,0.5871559633027523
6860,87,109,21,0.1926605504587156
6861,49,109,59,0.5412844036697247
6862,50,108,57,0.5277777777777778
6863,42,107,64,0.5981308411214953
6864,38,110,71,0.6454545454545455
6865,39,109,69,0.6330275229357798
6866,83,109,25,0.22935779816513763
6867,36,110,73,0.6636363636363637
6868,44,109,64,0.5871559633027523
6869,74,109,34,0.3119266055045872
6870,51,108,56,0.5185185185185185
6871,63,110,46,0.41818181818181815
6872,85,109,23,0.21100917431192662
6873,41,109,67,0.6146788990825688
6874,89,110,20,0.18181818181818182
6875,38,108,69,0.6388888888888888
6876,68,110,41,0.37272727272727274
6877,42,106,63,0.5943396226415094
6878,41,108,66,0.6111111111111112
6879,49,110,60,0.5454545454545454
6880,56,109,52,0.47706422018348627
6881,48,109,60,0.5504587155963303
6882,73,109,35,0.3211009174311927
6883,89,109,19,0.1743119266055046
6884,76,110,33,0.3
6885,45,108,62,0.5740740740740741
6886,48,111,62,0.5585585585585585
6887,44,108,63,0.5833333333333334
6888,51,109,57,0.5229357798165137
6889,51,108,56,0.5185185185185185
6890,38,109,70,0.6422018348623854
6891,38,108,69,0.6388888888888888
6892,46,109,62,0.5688073394495413
6893,50,108,57,0.5277777777777778
6894,42,109,66,0.6055045871559633
6895,41,110,68,0.6181818181818182
6896,45,110,64,0.5818181818181818
6897,51,109,57,0.5229357798165137
6898,75,110,34,0.3090909090909091
6899,46,110,63,0.5727272727272728
6900,44,109,64,0.5871559633027523
6901,42,110,67,0.6090909090909091
6902,45,111,65,0.5855855855855856
6903,47,110,62,0.5636363636363636
6904,77,111,33,0.2972972972972973
6905,49,110,60,0.5454545454545454
6906,48,110,61,0.5545454545454546
6907,93,111,17,0.15315315315315314
6908,42,109,66,0.6055045871559633
6909,43,111,67,0.6036036036036037
6910,40,112,71,0.6339285714285714
6911,48,109,60,0.5504587155963303
6912,86,112,25,0.22321428571428573
6913,43,110,66,0.6
6914,89,111,21,0.1891891891891892
6915,44,110,65,0.5909090909090909
6916,51,110,58,0.5272727272727272
6917,67,111,43,0.38738738738738737
6918,39,111,71,0.6396396396396397
6919,39,108,68,0.6296296296296297
6920,81,110,28,0.2545454545454545
6921,94,110,15,0.13636363636363635
6922,75,110,34,0.3090909090909091
6923,44,111,66,0.5945945945945946
6924,74,110,35,0.3181818181818182
6925,44,110,65,0.5909090909090909
6926,72,111,38,0.34234234234234234
6927,73,110,36,0.32727272727272727
6928,40,111,70,0.6306306306306306
6929,41,111,69,0.6216216216216216
6930,46,111,64,0.5765765765765766
6931,81,111,29,0.26126126126126126
6932,46,112,65,0.5803571428571429
6933,86,110,23,0.20909090909090908
6934,41,110,68,0.6181818181818182
6935,37,110,72,0.6545454545454545
6936,64,110,45,0.4090909090909091
6937,49,109,59,0.5412844036697247
6938,53,110,56,0.509090909090909
6939,53,111,57,0.5135135135135135
6940,69,109,39,0.3577981651376147
6941,47,111,63,0.5675675675675675
6942,46,110,63,0.5727272727272728
6943,70,109,38,0.3486238532110092
6944,97,111,13,0.11711711711711711
6945,47,111,63,0.5675675675675675
6946,75,111,35,0.3153153153153153
6947,51,110,58,0.5272727272727272
6948,53,110,56,0.509090909090909
6949,46,112,65,0.5803571428571429
6950,58,110,51,0.4636363636363636
6951,46,111,64,0.5765765765765766
6952,46,110,63,0.5727272727272728
6953,50,108,57,0.5277777777777778
6954,41,109,67,0.6146788990825688
6955,46,109,62,0.5688073394495413
6956,44,110,65,0.5909090909090909
6957,39,110,70,0.6363636363636364
6958,49,110,60,0.5454545454545454
6959,51,111,59,0.5315315315315315
6960,38,108,69,0.6388888888888888
6961,52,109,56,0.5137614678899083
6962,44,109,64,0.5871559633027523
6963,38,108,69,0.6388888888888888
