Time Cost: 2795.559451818466s
Community 1183: ['37974']
Community 1184: ['37976']
Community 1185: ['37977']
Community 1186: ['37978']
Community 1187: ['37979']
Community 1188: ['37980']
Community 1189: ['37981']
Community 1190: ['37982']
Community 1191: ['37984']
Community 1192: ['37985']
Community 1193: ['37987']
Community 1194: ['37988']
Community 1195: ['37989']
Community 1196: ['37990']
Community 1197: ['37991']
Community 1198: ['37992']
Community 1199: ['37993']
Community 1200: ['37994']
Community 1201: ['37995']
Community 1202: ['37997']
Community 1203: ['37998']
Community 1204: ['38000']
Community 1205: ['38001']
Community 1206: ['38002']
Community 1207: ['38003']
Community 1208: ['38004']
Community 1209: ['38005']
Community 1210: ['38006']
Community 1211: ['38007']
Community 1212: ['38008']
Community 1213: ['38010']
Community 1214: ['38011']
Community 1215: ['38013']
Community 1216: ['38014']
Community 1217: ['38015']
Community 1218: ['38016']
Community 1219: ['38017']
Community 1220: ['38018']
Community 1221: ['38019']
Community 1222: ['38021']
Community 1223: ['38022']
Community 1224: ['38023']
Community 1225: ['38024']
Community 1226: ['38025']
Community 1227: ['38026']
Community 1228: ['38027']
Community 1229: ['38028']
Community 1230: ['38029']
Community 1231: ['38030']
Community 1232: ['38031']
Community 1233: ['38032']
Community 1234: ['38033']
Community 1235: ['38034']
Community 1236: ['38035']
Community 1237: ['38036']
Community 1238: ['38037']
Community 1239: ['38038']
Community 1240: ['38039']
Community 1241: ['38040']
Community 1242: ['38041']
Community 1243: ['38042']
Community 1244: ['38043']
Community 1245: ['38044']
