Benchmark,Comm before verify,Cell-cell Edges before verify,Comm after verify,Edges after verify,Cell-cell Edges before merge,Edges after merge,,,,,,
md5_opt_all_8_4_nc,44,56,17,26,10,19,,,,,,
md5_opt_all_8_5_nc,44,56,44,56,7,14,,,,,,
md5_opt_all_8_6_nc,44,56,44,56,7,14,,,,,,
md5_opt_ExceptXORXNOR_12_4_nc,70,100,41,63,20,37,,,,,,
md5_opt_ExceptXORXNOR_12_5_nc,70,100,70,100,13,30,,,,,,
md5_opt_ExceptXORXNOR_12_6_nc,70,100,70,100,8,21,,,,,,
md5_opt_ExceptXORXNOR_20_4_nc,70,100,33,49,14,26,,,,,,
md5_opt_ExceptXORXNOR_20_5_nc,70,100,70,100,9,21,,,,,,
md5_opt_ExceptXORXNOR_20_6_nc,70,100,70,100,5,13,,,,,,
md5_opt_ExceptXORXNOR_8_5_nc,70,100,70,100,17,39,,,,,,
md5_opt_ExceptXORXNOR_8_6_nc,70,100,70,100,13,32,,,,,,
md5_opt_nand_12_5_nc,133,180,133,180,28,66,,,,,,
md5_opt_nand_12_6_nc,133,180,133,180,22,59,,,,,,
md5_opt_nand_20_5_nc,133,180,133,180,26,62,,,,,,
md5_opt_nand_20_6_nc,133,180,133,180,18,50,,,,,,
md5_opt_nand_8_5_nc,133,180,133,180,33,75,,,,,,
md5_opt_nand_8_6_nc,133,180,133,180,27,68,,,,,,
md5_opt_nor2_12_5_nc,131,180,131,180,31,73,,,,,,
md5_opt_nor2_12_6_nc,131,180,131,180,24,64,,,,,,
md5_opt_nor2_20_5_nc,131,180,131,180,29,70,,,,,,
md5_opt_nor2_20_6_nc,131,180,131,180,20,56,,,,,,
md5_opt_nor2_8_5_nc,131,180,131,180,33,76,,,,,,
md5_opt_nor2_8_6_nc,131,180,131,180,26,69,,,,,,
multiplier,23,27,23,27,4,7,,,,,,
mux,14,15,14,15,2,2,,,,,,
mux4,13,12,13,12,3,2,,,,,,
mux8,25,24,18,17,7,6,,,,,,
parity,6,5,1,0,1,0,,,,,,
parity16,102,138,102,138,19,47,,,,,,
parity32,214,298,214,298,45,112,,,,,,
parity4,20,23,20,23,3,5,,,,,,
parity64,436,613,436,613,93,238,,,,,,
parity8,48,63,48,63,8,19,,,,,,
priority_encoder16,91,109,91,109,16,34,,,,,,
priority_encoder32,273,336,273,336,50,113,,,,,,
priority_encoder4,6,4,1,0,1,0,,,,,,
priority_encoder8,20,20,20,20,4,3,,,,,,
RCA,17,21,17,21,3,4,,,,,,
RCA16,179,226,179,226,34,81,,,,,,
RCA32,355,450,355,450,66,161,,,,,,
RCA4,47,58,47,58,9,19,,,,,,
RCA64,707,898,707,898,130,321,,,,,,
RCA8,91,114,91,114,18,34,,,,,,
test0,12,13,8,8,5,5,,,,,,
test1,5,7,1,0,1,0,,,,,,
test1_bio,5,7,1,0,1,0,,,,,,
test2,9,10,6,6,5,5,,,,,,
test2_bio,9,10,6,6,5,5,,,,,,
test4,15,20,7,11,6,10,,,,,,
test4_bio,15,20,15,20,5,9,,,,,,
test5_bio,13,24,13,24,8,18,,,,,,
test6_bio,20,45,20,45,9,26,,,,,,
test7,9,10,2,1,2,1,,,,,,
test7_bio,9,10,9,10,2,1,,,,,,
tree3,29,28,29,28,5,4,,,,,,
voter,20,23,20,23,3,4,,,,,,
voter16,217,304,217,304,47,118,,,,,,
voter2,20,23,20,23,3,4,,,,,,
voter32,436,613,436,613,92,236,,,,,,
voter4,48,63,48,63,9,19,,,,,,
voter8,104,143,104,143,22,53,,,,,,
md5_regular_20_200_nc,7424,7424,10890,10890
sha256_core_nor_20_1000_nc,14654,14654,21383,21383
sha256_core_nor_20_2000_nc,14654,14654,21383,21383
cobra_50_4,48,1,286,0
