Time Cost: 31473.23913693428s
Community 229: ['19504', '19505', '19506']
Community 230: ['19508', '19509', '19510']
Community 231: ['19512', '19513', '19514']
Community 232: ['19516', '19517', '19518']
Community 233: ['19520', '19521', '19522']
Community 234: ['19524', '19525', '19526']
Community 235: ['19528', '19529', '19530']
Community 236: ['19532', '19533', '19534']
Community 237: ['19536', '19537', '19538']
Community 238: ['19540', '19541', '19542']
Community 239: ['19544', '19545', '19546']
Community 240: ['19548', '19549', '19550']
Community 241: ['19552', '19553', '19554']
Community 242: ['19556', '19557', '19558']
Community 243: ['19560', '19561', '19562']
Community 244: ['19564', '19565', '19566']
Community 245: ['19568', '19569', '19570']
Community 246: ['19572', '19573', '19574']
Community 247: ['19576', '19577', '19578']
Community 248: ['19580', '19581', '19582']
Community 249: ['19584', '19585', '19586']
Community 250: ['19588', '19589', '19590']
Community 251: ['19592', '19593', '19594']
Community 252: ['19596', '19597', '19598']
Community 253: ['19600', '19601', '19602']
Community 254: ['19604', '19605', '19606']
Community 255: ['19608', '19609', '19610']
Community 256: ['19612', '19613', '19614']
Community 257: ['19616', '19617', '19618']
Community 258: ['19620', '19621', '19622']
Community 259: ['19624', '19625', '19626']
Community 260: ['19628', '19629', '19630']
Community 261: ['19632', '19633', '19634']
Community 262: ['19636', '19637', '19638']
Community 263: ['19640', '19641', '19642']
Community 264: ['19644', '19645', '19646']
Community 265: ['19648', '19649', '19650']
Community 266: ['19652', '19653', '19654']
Community 267: ['19656', '19657', '19658']
Community 268: ['19660', '19661', '19662']
Community 269: ['19664', '19665', '19666']
Community 270: ['19668', '19669', '19670']
Community 271: ['19672', '19673', '19674']
Community 272: ['19676', '19677', '19678']
Community 273: ['19680', '19681', '19682']
Community 274: ['19684', '19685', '19686']
Community 275: ['19688', '19689', '19690']
Community 276: ['19692', '19693', '19694']
Community 277: ['19696', '19697', '19698']
Community 278: ['19700', '19701', '19702']
Community 279: ['19704', '19705', '19706']
Community 280: ['19708', '19709', '19710']
Community 281: ['19712', '19713', '19714']
Community 282: ['19716', '19717', '19718']
Community 283: ['19720', '19721', '19722']
Community 284: ['19724', '19725', '19726']
Community 285: ['19728', '19729', '19730']
Community 286: ['19732', '19733', '19734']
