Solution index,Edge index,Total cell-cell edges,Edges colored,color percentage
7438,2358,2422,63,0.026011560693642
7447,2358,2422,63,0.026011560693642
7451,2358,2422,63,0.026011560693642
7470,2358,2422,63,0.026011560693642
7475,2358,2422,63,0.026011560693642
7486,2358,2422,63,0.026011560693642
7495,2358,2422,63,0.026011560693642
7510,2358,2422,63,0.026011560693642
7515,2358,2422,63,0.026011560693642
7535,2358,2422,63,0.026011560693642
7538,2358,2422,63,0.026011560693642
7554,2358,2422,63,0.026011560693642
7561,2358,2422,63,0.026011560693642
7566,2358,2422,63,0.026011560693642
7573,2358,2422,63,0.026011560693642
7583,2358,2422,63,0.026011560693642
7598,2358,2422,63,0.026011560693642
7615,2358,2422,63,0.026011560693642
7623,2358,2422,63,0.026011560693642
7633,2358,2422,63,0.026011560693642
7635,2358,2422,63,0.026011560693642
7648,2358,2422,63,0.026011560693642
7653,2358,2422,63,0.026011560693642
7664,2358,2422,63,0.026011560693642
7681,2358,2422,63,0.026011560693642
7690,2358,2422,63,0.026011560693642
7694,2358,2422,63,0.026011560693642
7710,2358,2422,63,0.026011560693642
7711,2358,2422,63,0.026011560693642
7730,2358,2422,63,0.026011560693642
7740,2358,2422,63,0.026011560693642
7744,2358,2422,63,0.026011560693642
7762,2358,2422,63,0.026011560693642
7771,2358,2422,63,0.026011560693642
7782,2358,2422,63,0.026011560693642
7792,2358,2422,63,0.026011560693642
7798,2358,2422,63,0.026011560693642
7814,2358,2422,63,0.026011560693642
7819,2358,2422,63,0.026011560693642
7827,2358,2422,63,0.026011560693642
7834,2358,2422,63,0.026011560693642
7853,2358,2422,63,0.026011560693642
7863,2359,2423,63,0.026000825423029
7872,2360,2424,63,0.025990099009901
7889,2362,2426,63,0.025968672712284
7892,2363,2427,63,0.025957972805933
7905,2365,2429,63,0.025936599423631
9198,2614,2684,69,0.025707898658718
9214,2616,2686,69,0.025688756515264
9216,2617,2687,69,0.025679196129513
9227,2619,2689,69,0.02566009669022
9230,2620,2690,69,0.025650557620818
9249,2622,2692,69,0.025631500742942
9251,2623,2693,69,0.025621982918678
9260,2624,2694,69,0.025612472160356
9271,2626,2696,69,0.025593471810089
9274,2627,2697,69,0.025583982202447
9284,2634,2704,69,0.02551775147929
9293,2636,2706,69,0.02549889135255
9304,2638,2708,69,0.025480059084195
9309,2639,2709,69,0.02547065337763
9324,2642,2712,69,0.025442477876106
9329,2643,2713,69,0.025433099889421
9338,2644,2714,69,0.025423728813559
9343,2645,2715,69,0.025414364640884
9351,2648,2718,69,0.025386313465784
9362,2649,2719,69,0.025376976829717
9368,2651,2721,69,0.025358324145535
9379,2652,2722,69,0.025349008082293
9390,2654,2724,69,0.025330396475771
9079,2593,2661,67,0.025178504321684
9092,2596,2664,67,0.02515015015015
9104,2599,2667,67,0.025121859767529
